vehicle_class,engine_size,cylinders,fuel_type,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb,fuel_cons_comb_mpg,co2
SUBCOMPACT,1.4,4,Regular gasoline,8.0,6.2,7.2,39.0,168.0
MID-SIZE,3.6,6,Ethanol (E85),16.9,10.8,14.1,20.0,226.0
FULL-SIZE,4.0,8,Premium gasoline,15.7,10.5,13.4,21.0,313.0
FULL-SIZE,3.6,6,Regular gasoline,13.2,8.7,11.2,25.0,258.0
MID-SIZE,3.4,6,Premium gasoline,13.1,8.7,11.1,25.0,261.0
FULL-SIZE,2.0,4,Regular gasoline,5.6,6.4,6.0,47.0,140.0
SUV - SMALL,2.0,4,Premium gasoline,10.3,7.5,9.0,31.0,211.0
FULL-SIZE,5.0,8,Premium gasoline,15.7,10.2,13.2,21.0,304.0
COMPACT,2.5,5,Regular gasoline,11.8,8.6,10.3,27.0,239.0
FULL-SIZE,5.7,8,Regular gasoline,15.7,9.6,12.9,22.0,302.0
MID-SIZE,3.0,6,Regular gasoline,14.0,9.2,11.8,24.0,278.0
SUV - SMALL,2.0,4,Premium gasoline,11.7,9.4,10.7,26.0,249.0
MINIVAN,3.5,6,Regular gasoline,12.6,8.4,10.7,26.0,252.0
COMPACT,1.8,4,Regular gasoline,9.4,6.7,8.2,34.0,189.0
SUBCOMPACT,4.7,8,Premium gasoline,18.2,11.4,15.1,19.0,347.0
MID-SIZE,3.0,6,Premium gasoline,10.5,7.9,9.3,30.0,214.0
COMPACT,2.0,4,Premium gasoline,11.3,7.5,9.6,29.0,221.0
SUV - SMALL,,4,Regular gasoline,11.5,8.6,10.2,28.0,240.0
COMPACT,1.5,4,Regular gasoline,7.5,5.6,6.7,42.0,155.0
SUV - SMALL,2.5,4,Regular gasoline,10.9,8.3,9.7,29.0,228.0
SUBCOMPACT,1.4,4,Regular gasoline,7.9,6.2,7.1,40.0,167.0
SUV - SMALL,2.0,4,Regular gasoline,10.3,8.2,9.3,30.0,216.0
COMPACT,1.4,4,Regular gasoline,8.1,6.6,7.4,38.0,174.0
MID-SIZE,6.2,8,Premium gasoline,17.1,11.0,14.3,20.0,337.0
MID-SIZE,2.9,6,Premium gasoline,13.5,9.3,11.6,24.0,271.0
SUV - SMALL,1.4,4,Regular gasoline,9.9,7.7,8.9,32.0,209.0
MID-SIZE,1.4,4,Regular gasoline,8.6,6.2,7.5,38.0,175.0
TWO-SEATER,6.0,12,Premium gasoline,23.2,14.4,19.2,15.0,450.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,11.9,9.4,10.8,26.0,290.0
SUBCOMPACT,4.4,8,Premium gasoline,14.3,9.3,12.1,23.0,283.0
FULL-SIZE,3.6,6,Ethanol (E85),17.0,11.5,14.5,19.0,232.0
SUV - SMALL,2.4,4,Regular gasoline,11.4,8.7,10.2,28.0,240.0
FULL-SIZE,3.5,6,Regular gasoline,13.1,8.7,11.1,25.0,260.0
SUBCOMPACT,2.0,4,Regular gasoline,9.1,6.8,8.0,35.0,188.0
SUBCOMPACT,3.8,6,Premium gasoline,14.2,10.7,12.6,22.0,295.0
COMPACT,2.0,4,Regular gasoline,9.6,7.1,8.5,33.0,198.0
PICKUP TRUCK - STANDARD,5.3,8,Ethanol (E85),22.2,16.2,19.5,14.0,326.0
MID-SIZE,2.4,4,Regular gasoline,11.2,8.0,9.8,29.0,225.0
PICKUP TRUCK - STANDARD,3.3,6,Regular gasoline,12.2,9.3,10.9,26.0,256.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,10.0,7.4,8.8,32.0,206.0
SUBCOMPACT,1.0,3,Regular gasoline,7.5,5.5,6.6,43.0,152.0
SUV - SMALL,1.5,4,Regular gasoline,8.7,7.2,8.0,35.0,188.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.4,11.2,13.0,22.0,304.0
FULL-SIZE,3.8879181362396267,3,Premium gasoline,20.566989388585327,4.51765175544447,3.2244367065756823,47.67366489691816,178.14925210315408
COMPACT,6.2,8,Premium gasoline,16.7,12.5,14.8,19.0,340.0
MID-SIZE,2.0,4,Premium gasoline,10.0,7.3,8.8,32.0,205.0
COMPACT,2.0,4,Regular gasoline,7.8,6.0,7.0,40.0,163.0
TWO-SEATER,3.7,6,Premium gasoline,13.6,9.7,11.8,24.0,278.0
MINICOMPACT,3.0,6,Premium gasoline,11.0,8.5,9.9,29.0,231.0
COMPACT,2.0,4,Regular gasoline,9.3,7.2,8.4,34.0,196.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,9.4,6.8,8.3,34.0,192.0
SUV - STANDARD,5.7,8,Regular gasoline,17.3,10.8,14.4,20.0,331.0
MID-SIZE,1.8,4,Regular gasoline,8.5,6.3,7.5,38.0,176.0
COMPACT,1.4,4,Regular gasoline,8.9,7.0,8.0,35.0,189.0
COMPACT,1.5,4,Regular gasoline,4.9,5.5,5.1,55.0,120.0
SUBCOMPACT,4.0,8,Premium gasoline,15.8,9.8,13.1,22.0,306.0
COMPACT,1.6,4,Regular gasoline,9.6,7.4,8.6,33.0,204.0
SUV - SMALL,3.3,6,Regular gasoline,12.5,9.7,11.2,25.0,265.0
MID-SIZE,2.0,4,Regular gasoline,6.3,5.7,6.0,47.0,143.0
COMPACT,2.0,4,Regular gasoline,5.7,6.2,6.0,47.0,140.0
MID-SIZE,1.8,4,Regular gasoline,8.0,6.1,7.2,39.0,166.0
MID-SIZE,2.4,4,Regular gasoline,6.5,5.9,6.2,46.0,143.0
COMPACT,2.5,4,Premium gasoline,14.3,10.9,12.8,22.0,296.0
COMPACT,4.682464073121141,14,Regular gasoline,4.31646477148721,17.869033419708195,18.169609347781787,14.905541916932314,468.89165111770063
SUBCOMPACT,2.0,4,Premium gasoline,11.2,7.5,9.6,29.0,221.0
SUV - STANDARD,6.0,12,Premium gasoline,22.2,18.0,20.3,14.0,467.0
COMPACT,2.4,4,Regular gasoline,10.5,7.8,9.3,30.0,218.0
MID-SIZE,3.6,6,Regular gasoline,13.2,8.7,11.2,25.0,258.0
MINICOMPACT,5.610592611560484,9,Regular gasoline,3.7845996380007896,21.040323250213095,23.07862337921012,22.74034664069657,172.82108596463905
COMPACT,4.4,8,Premium gasoline,16.1,10.9,13.7,21.0,321.0
PICKUP TRUCK - SMALL,2.7,4,Regular gasoline,12.1,10.1,11.2,25.0,263.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,12.3,8.8,10.8,26.0,289.0
COMPACT,2.0,4,Premium gasoline,10.6,8.0,9.4,30.0,220.0
MINICOMPACT,3.8,6,Premium gasoline,12.5,8.9,10.9,26.0,251.0
SUBCOMPACT,3.5,6,Premium gasoline,11.9,8.2,10.2,28.0,235.0
FULL-SIZE,3.6,6,Ethanol (E85),17.6,12.0,15.0,19.0,248.0
TWO-SEATER,4.2,8,Premium gasoline,21.2,13.4,17.7,16.0,407.0
MID-SIZE,2.0,4,Regular gasoline,8.2,5.9,7.2,39.0,166.0
SUBCOMPACT,3.8,6,Premium gasoline,14.4,10.9,12.8,22.0,300.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.1,10.2,12.4,23.0,290.0
SUV - SMALL,2.4,4,Regular gasoline,12.3,9.3,11.0,26.0,253.0
FULL-SIZE,5.7,8,Regular gasoline,16.1,10.0,13.4,21.0,308.0
STATION WAGON - MID-SIZE,3.5,6,Regular gasoline,11.0,8.3,9.8,29.0,230.0
STATION WAGON - MID-SIZE,3.5,6,Premium gasoline,12.4,8.8,10.8,26.0,248.0
MINICOMPACT,3.0,6,Premium gasoline,12.1,9.2,10.8,26.0,251.0
TWO-SEATER,5.0,8,Premium gasoline,15.2,9.8,12.7,22.0,299.0
COMPACT,1.6,4,Regular gasoline,8.6,6.6,7.7,37.0,177.0
MINICOMPACT,3.8,6,Premium gasoline,13.1,9.4,11.4,25.0,262.0
MID-SIZE,2.4,4,Regular gasoline,10.6,7.5,9.2,31.0,212.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,15.8,11.5,13.9,20.0,326.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.3,14.0,17.4,16.0,288.0
MID-SIZE,1.8,4,Regular gasoline,7.8,5.9,6.9,41.0,163.0
SUBCOMPACT,3.0,6,Premium gasoline,14.1,9.0,11.8,24.0,278.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,13.4,10.0,11.8,24.0,278.0
COMPACT,2.0,4,Premium gasoline,11.6,7.6,9.8,29.0,230.0
SUV - SMALL,3.3,6,Regular gasoline,13.9,10.8,12.5,23.0,287.0
SUBCOMPACT,2.0,4,Premium gasoline,10.8,7.6,9.4,30.0,216.0
MINIVAN,3.6,6,Regular gasoline,13.7,9.4,11.8,24.0,276.0
COMPACT,2.5,5,Regular gasoline,11.6,8.2,10.1,28.0,233.0
SUV - STANDARD,4.6,8,Premium gasoline,16.0,12.9,14.6,19.0,341.0
SUV - SMALL,,4,Premium gasoline,11.8,8.6,10.4,27.0,242.0
SUBCOMPACT,3.8,6,Premium gasoline,14.4,9.5,12.2,23.0,284.0
MINICOMPACT,3.0,6,Premium gasoline,11.9,9.3,10.7,26.0,250.0
MID-SIZE,1.5,4,Regular gasoline,10.1,6.6,8.5,33.0,196.0
FULL-SIZE,3.5,6,Ethanol (E85),17.8,12.1,15.2,19.0,254.0
MINICOMPACT,6.0,12,Premium gasoline,17.6,11.4,14.8,19.0,346.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,15.9,11.3,13.8,20.0,323.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,11.6,9.0,10.4,27.0,245.0
COMPACT,3.0,6,Premium gasoline,14.1,9.7,12.1,23.0,284.0
MID-SIZE,2.4,4,Regular gasoline,10.2,6.8,8.7,32.0,200.0
TWO-SEATER,6.0,12,Premium gasoline,17.6,10.8,14.5,19.0,339.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,10.8,8.1,9.6,29.0,224.0
PICKUP TRUCK - STANDARD,3.5,6,Ethanol (E85),17.9,13.2,15.8,18.0,258.0
PICKUP TRUCK - SMALL,2.7,4,Regular gasoline,12.2,9.9,11.2,25.0,258.0
MID-SIZE,2.0,4,Regular gasoline,5.9,5.1,5.6,50.0,132.0
MID-SIZE,2.5,4,Regular gasoline,8.5,6.2,7.5,38.0,175.0
SUBCOMPACT,5.0,8,Regular gasoline,15.8,9.8,13.1,22.0,307.0
SUV - STANDARD,6.2,8,Premium gasoline,16.8,11.7,14.5,19.0,334.0
STATION WAGON - SMALL,1.5,4,Regular gasoline,7.3,6.1,6.8,42.0,156.0
STATION WAGON - MID-SIZE,1.8,4,Regular gasoline,5.3,5.8,5.5,51.0,126.0
TWO-SEATER,6.2,8,Premium gasoline,17.7,10.2,14.3,20.0,335.0
SUV - SMALL,2.4,4,Regular gasoline,11.1,8.3,9.8,29.0,225.0
SUV - STANDARD,3.5,6,Premium gasoline,7.5,8.4,7.9,36.0,185.0
PICKUP TRUCK - SMALL,3.5,6,Regular gasoline,13.1,10.5,11.9,24.0,280.0
SUBCOMPACT,3.0,6,Premium gasoline,14.3,10.4,12.6,22.0,294.0
FULL-SIZE,2.0,4,Regular gasoline,9.4,7.1,8.4,34.0,199.0
FULL-SIZE,6.6,12,Premium gasoline,20.4,13.1,17.1,17.0,400.0
MID-SIZE,4.0,8,Premium gasoline,15.5,10.6,13.3,21.0,313.0
SUV - STANDARD,4.8,8,Premium gasoline,16.9,11.2,14.3,20.0,336.0
SUV - STANDARD,3.6,6,Regular gasoline,14.9,10.4,12.9,22.0,297.0
TWO-SEATER,6.5,12,Premium gasoline,22.2,12.7,17.9,16.0,412.0
MID-SIZE,2.0,4,Regular gasoline,9.7,6.7,8.3,34.0,194.0
COMPACT,2.0,4,Diesel,7.6,5.7,6.9,41.0,184.0
SUV - SMALL,3.2,6,Regular gasoline,12.2,8.6,10.6,27.0,249.0
SUV - SMALL,3.5,6,Regular gasoline,12.1,8.9,10.7,26.0,250.0
STATION WAGON - MID-SIZE,4.824131697455499,3,Diesel,24.237828744219406,15.964492782511986,19.959618015690623,31.56946907318531,220.65730934520315
SUBCOMPACT,3.7,6,Regular gasoline,12.1,7.8,10.2,28.0,235.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.3,14.0,17.4,16.0,290.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,8.6,7.1,7.9,36.0,188.0
FULL-SIZE,2.0,4,Regular gasoline,9.8,7.3,8.7,32.0,205.0
MID-SIZE,3.0,6,Premium gasoline,10.6,7.9,9.4,30.0,219.0
SUBCOMPACT,2.0,4,Premium gasoline,10.2,7.4,9.0,31.0,210.0
FULL-SIZE,3.0,6,Regular gasoline,14.4,9.7,12.3,23.0,288.0
SUBCOMPACT,5.2,8,Premium gasoline,17.1,11.4,14.5,19.0,342.0
COMPACT,1.0,3,Regular gasoline,8.5,5.9,7.3,39.0,171.0
SUV - SMALL,3.5,6,Regular gasoline,12.7,9.0,11.0,26.0,253.0
SUV - SMALL,2.0,4,Regular gasoline,9.6,7.6,8.7,32.0,200.0
COMPACT,5.5,8,Premium gasoline,16.4,10.6,13.8,20.0,322.0
SUV - STANDARD,6.4,8,Premium gasoline,18.3,12.6,15.7,18.0,368.0
FULL-SIZE,2.0,4,Regular gasoline,10.9,7.4,9.3,30.0,222.0
TWO-SEATER,1.6,4,Premium gasoline,8.0,6.4,7.3,39.0,168.0
MINICOMPACT,3.8,6,Premium gasoline,14.3,10.9,12.7,22.0,297.0
SUV - STANDARD,3.6,6,Regular gasoline,14.1,10.4,12.4,23.0,292.0
TWO-SEATER,6.2,8,Premium gasoline,15.6,10.6,13.4,21.0,312.0
SUV - SMALL,2.0,4,Premium gasoline,11.2,8.6,10.1,28.0,236.0
PICKUP TRUCK - STANDARD,5.3,8,Ethanol (E85),22.3,18.1,20.5,14.0,342.0
TWO-SEATER,3.7,6,Premium gasoline,13.0,9.7,11.5,25.0,271.0
SUV - SMALL,1.3,4,Regular gasoline,10.1,8.1,9.2,31.0,216.0
MINICOMPACT,3.8,6,Premium gasoline,12.9,9.0,11.2,25.0,262.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,14.4,10.6,12.7,22.0,297.0
COMPACT,2.0,4,Premium gasoline,10.1,6.8,8.7,32.0,203.0
MID-SIZE,2.0,4,Regular gasoline,9.6,6.7,8.3,34.0,193.0
FULL-SIZE,2.4,4,Regular gasoline,9.8,6.9,8.5,33.0,202.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,11.5,8.4,10.1,28.0,273.0
STATION WAGON - MID-SIZE,2.0,4,Premium gasoline,10.4,7.7,9.2,31.0,214.0
SUV - STANDARD,3.0,6,Premium gasoline,12.5,10.3,11.5,25.0,269.0
SUV - SMALL,1.4,4,Regular gasoline,10.2,8.0,9.2,31.0,212.0
SUV - STANDARD,5.3,8,Ethanol (E85),20.5,14.0,17.6,16.0,288.0
COMPACT,2.0,4,Premium gasoline,12.4,9.4,11.1,25.0,255.0
MID-SIZE,1.8,4,Regular gasoline,8.6,6.6,7.7,37.0,180.0
SUV - SMALL,2.4,4,Ethanol (E85),15.9,11.0,13.7,21.0,219.0
PICKUP TRUCK - SMALL,3.6,6,Regular gasoline,15.0,13.0,14.1,20.0,331.0
MID-SIZE,1.5,4,Regular gasoline,10.0,7.0,8.7,32.0,204.0
MID-SIZE,2.0,4,Premium gasoline,10.2,7.2,8.8,32.0,207.0
SUV - STANDARD,2.3,4,Regular gasoline,13.1,9.2,11.3,25.0,266.0
SUBCOMPACT,2.3,4,Regular gasoline,11.0,7.4,9.4,30.0,216.0
COMPACT,2.0,4,Premium gasoline,10.7,7.7,9.4,30.0,220.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,11.8,8.5,10.3,27.0,241.0
SUBCOMPACT,2.0,4,Premium gasoline,11.5,8.8,10.3,27.0,237.0
MID-SIZE,1.8,4,Regular gasoline,8.3,6.7,7.6,37.0,178.0
MID-SIZE,2.0,4,Regular gasoline,8.4,6.4,7.5,38.0,174.0
COMPACT,2.0,4,Premium gasoline,10.4,6.7,8.7,32.0,200.0
SUV - SMALL,3.2,6,Regular gasoline,13.1,9.5,11.5,25.0,264.0
FULL-SIZE,2.0,4,Premium gasoline,11.0,7.6,9.5,30.0,222.0
COMPACT,1.8,4,Regular gasoline,9.5,7.1,8.4,34.0,198.0
TWO-SEATER,3.5,6,Premium gasoline,20.6,13.2,17.3,16.0,406.0
MID-SIZE,2.0,4,Regular gasoline,8.2,5.9,7.1,40.0,167.0
COMPACT,3.6,6,Regular gasoline,12.7,7.9,10.5,27.0,242.0
SUBCOMPACT,2.5,5,Premium gasoline,12.1,8.2,10.3,27.0,241.0
COMPACT,2.0,4,Regular gasoline,9.5,7.2,8.5,33.0,198.0
COMPACT,2.0,4,Premium gasoline,10.2,6.7,8.6,33.0,202.0
SUV - SMALL,2.0,4,Regular gasoline,12.2,9.3,10.9,26.0,256.0
SUV - STANDARD,5.5,8,Premium gasoline,17.2,13.4,15.5,18.0,364.0
COMPACT,2.0,4,Premium gasoline,12.8,8.5,10.9,26.0,255.0
SUV - STANDARD,3.0,6,Premium gasoline,13.0,9.8,11.5,25.0,270.0
PICKUP TRUCK - STANDARD,2.7,4,Regular gasoline,12.7,11.0,12.0,24.0,280.0
MINICOMPACT,3.8,6,Premium gasoline,13.7,9.6,11.9,24.0,274.0
FULL-SIZE,3.8,8,Premium gasoline,16.1,10.8,13.8,20.0,321.0
COMPACT,2.0,4,Premium gasoline,10.7,7.7,9.3,30.0,217.0
FULL-SIZE,6.4,8,Premium gasoline,15.7,9.5,12.9,22.0,297.0
SUBCOMPACT,4.4,8,Premium gasoline,13.6,9.3,11.7,24.0,273.0
SUBCOMPACT,1.5,3,Premium gasoline,8.1,5.9,7.1,40.0,163.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,15.9,11.5,13.9,20.0,327.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,10.6,7.2,9.1,31.0,209.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,16.8,12.4,14.8,19.0,347.0
MINICOMPACT,5.2,12,Premium gasoline,16.4,10.7,13.8,20.0,324.0
FULL-SIZE,3.8,8,Premium gasoline,16.0,10.8,13.7,21.0,321.0
TWO-SEATER,6.2,8,Premium gasoline,14.6,8.1,11.7,24.0,275.0
COMPACT,6.7,12,Premium gasoline,20.7,12.7,17.1,17.0,393.0
SUBCOMPACT,3.0,6,Premium gasoline,13.4,9.6,11.7,24.0,273.0
COMPACT,3.6,6,Regular gasoline,12.8,8.9,11.0,26.0,253.0
COMPACT,1.4,4,Regular gasoline,8.1,6.0,7.2,39.0,169.0
MID-SIZE,2.0,4,Regular gasoline,9.7,6.7,8.3,34.0,191.0
COMPACT,2.5,4,Regular gasoline,9.2,7.0,8.2,34.0,192.0
SUV - SMALL,2.0,4,Premium gasoline,10.5,7.4,9.1,31.0,213.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.7,14.3,17.9,16.0,286.0
SUV - SMALL,2.4,4,Regular gasoline,10.8,7.7,9.4,30.0,216.0
FULL-SIZE,3.0,6,Premium gasoline,12.5,8.6,10.8,26.0,252.0
STATION WAGON - SMALL,1.5,4,Regular gasoline,7.6,6.5,7.0,40.0,166.0
COMPACT,1.3318166676715801,12,Diesel,22.961083712861047,18.96547376953519,10.923013724845234,23.214462853932897,399.37199988347163
MINICOMPACT,3.8,6,Premium gasoline,12.8,8.9,11.0,26.0,253.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,10.5,7.9,9.3,30.0,217.0
COMPACT,2.0,4,Premium gasoline,11.4,7.9,9.8,29.0,225.0
MID-SIZE,2.0,4,Regular gasoline,10.1,7.5,8.9,32.0,209.0
FULL-SIZE,6.7,12,Premium gasoline,20.0,12.4,16.6,17.0,387.0
COMPACT,2.0,4,Premium gasoline,8.6,6.9,7.8,36.0,182.0
FULL-SIZE,3.6,6,Ethanol (E85),17.0,11.7,14.6,19.0,240.0
SUBCOMPACT,2.0,4,Premium gasoline,10.8,7.6,9.4,30.0,220.0
COMPACT,3.0,6,Regular gasoline,12.9,9.0,11.2,25.0,258.0
COMPACT,2.0,4,Premium gasoline,10.5,7.5,9.1,31.0,214.0
MID-SIZE,3.5,6,Premium gasoline,10.3,7.6,9.1,31.0,211.0
MID-SIZE,2.4,4,Regular gasoline,10.2,7.0,8.8,32.0,202.0
SUV - SMALL,1.4,4,Regular gasoline,9.2,7.0,8.2,34.0,193.0
SUBCOMPACT,4.7,8,Premium gasoline,13.7,9.2,11.7,24.0,269.0
MID-SIZE,2.5,4,Regular gasoline,11.3,8.2,9.9,29.0,228.0
PICKUP TRUCK - SMALL,2.5,4,Regular gasoline,12.6,9.7,11.3,25.0,265.0
STATION WAGON - SMALL,6.0715125409485395,8,Regular gasoline,21.876206141329753,13.570540022039772,5.348194427874219,32.06294818356601,208.5066133677785
FULL-SIZE,3.0,6,Premium gasoline,14.7,9.6,12.4,23.0,285.0
MID-SIZE,6.8,8,Premium gasoline,21.3,12.8,17.5,16.0,407.0
MINICOMPACT,1.4,4,Regular gasoline,9.6,7.3,8.6,33.0,198.0
MID-SIZE,6.2,8,Premium gasoline,16.5,11.1,14.0,20.0,329.0
FULL-SIZE,1.6,4,Regular gasoline,4.3,4.4,4.3,66.0,104.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,9.6,7.3,8.6,33.0,198.0
COMPACT,1.8,4,Regular gasoline,9.3,6.5,8.1,35.0,186.0
COMPACT,6.6,12,Premium gasoline,20.0,12.6,16.7,17.0,390.0
COMPACT,2.0,4,Regular gasoline,9.8,7.3,8.7,32.0,203.0
COMPACT,2.0,4,Premium gasoline,10.1,7.0,8.7,32.0,204.0
SUBCOMPACT,4.4,8,Premium gasoline,14.5,9.9,12.4,23.0,290.0
SUV - STANDARD,3.5,6,Regular gasoline,15.2,10.9,13.2,21.0,311.0
SUV - STANDARD,3.6,6,Regular gasoline,13.0,9.3,11.3,25.0,265.0
SUV - SMALL,2.4,4,Regular gasoline,10.7,7.8,9.4,30.0,220.0
COMPACT,2.0,4,Regular gasoline,8.4,6.6,7.6,37.0,178.0
TWO-SEATER,3.5,6,Premium gasoline,19.8,12.8,16.6,17.0,393.0
COMPACT,1.6,4,Premium gasoline,8.6,6.8,7.8,36.0,179.0
STATION WAGON - SMALL,1.6,4,Premium gasoline,8.7,7.3,8.1,35.0,186.0
COMPACT,1.6,4,Regular gasoline,10.6,7.8,9.4,30.0,216.0
SPECIAL PURPOSE VEHICLE,2.0,4,Regular gasoline,9.9,8.2,9.2,31.0,214.0
COMPACT,1.6,4,Regular gasoline,8.7,6.3,7.6,37.0,175.0
STATION WAGON - SMALL,3.0,6,Regular gasoline,12.9,9.0,11.2,25.0,258.0
MID-SIZE,2.0,4,Premium gasoline,10.7,8.6,9.7,29.0,229.0
SUBCOMPACT,6.2,8,Premium gasoline,17.9,12.2,15.3,18.0,352.0
COMPACT,2.0,4,Regular gasoline,8.3,6.9,7.7,37.0,179.0
SUV - SMALL,3.6,6,Premium gasoline,14.2,10.1,12.3,23.0,283.0
MID-SIZE,3.0,6,Premium gasoline,14.7,10.0,12.4,23.0,293.0
COMPACT,2.0,4,Regular gasoline,8.4,6.3,7.5,38.0,174.0
FULL-SIZE,3.0,6,Premium gasoline,14.1,9.8,12.2,23.0,286.0
SUV - SMALL,2.5,4,Regular gasoline,11.3,8.9,10.2,28.0,238.0
FULL-SIZE,2.4,4,Regular gasoline,9.4,6.7,8.2,34.0,194.0
SUV - STANDARD,3.5,6,Regular gasoline,12.0,8.9,10.6,27.0,247.0
MINICOMPACT,2.0,4,Premium gasoline,9.7,7.2,8.6,33.0,200.0
MINICOMPACT,2.0,4,Premium gasoline,9.4,7.2,8.4,34.0,196.0
FULL-SIZE,3.0,6,Premium gasoline,14.9,10.3,12.8,22.0,300.0
MID-SIZE,3.0,6,Premium gasoline,11.4,7.8,9.8,29.0,228.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,9.1,7.7,8.5,33.0,200.0
SUBCOMPACT,3.0,6,Premium gasoline,13.2,9.2,11.4,25.0,262.0
TWO-SEATER,4.7,8,Premium gasoline,18.1,12.3,15.5,18.0,362.0
FULL-SIZE,2.0,4,Regular gasoline,9.8,7.4,8.7,32.0,207.0
MID-SIZE,2.0,4,Diesel,7.8,5.9,6.9,41.0,180.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,14.5,10.2,12.6,22.0,294.0
SUV - STANDARD,5.3,8,Ethanol (E85),22.1,15.4,19.1,15.0,306.0
SUV - STANDARD,4.8,8,Premium gasoline,18.0,11.9,15.2,19.0,358.0
MID-SIZE,2.5,4,Regular gasoline,9.2,6.6,8.1,35.0,190.0
FULL-SIZE,3.6,6,Regular gasoline,12.8,8.8,11.0,26.0,259.0
MID-SIZE,6.4,8,Premium gasoline,16.7,10.4,13.9,20.0,325.0
COMPACT,2.0,4,Premium gasoline,10.8,6.7,8.9,32.0,211.0
COMPACT,3.0,6,Premium gasoline,11.6,7.8,9.9,29.0,231.0
MID-SIZE,,4,Regular gasoline,9.4,6.7,8.2,34.0,192.0
COMPACT,6.0,12,Premium gasoline,19.0,11.6,15.7,18.0,364.0
COMPACT,2.4,4,Premium gasoline,10.6,7.5,9.2,31.0,212.0
COMPACT,1.4,4,Regular gasoline,9.0,6.8,8.0,35.0,188.0
TWO-SEATER,3.7,6,Premium gasoline,13.6,9.7,11.8,24.0,279.0
STATION WAGON - MID-SIZE,3.0,6,Premium gasoline,12.4,9.3,11.0,26.0,259.0
SUV - SMALL,2.4,4,Regular gasoline,11.2,8.0,9.8,29.0,225.0
SUV - STANDARD,3.5,6,Regular gasoline,13.9,9.7,12.0,24.0,281.0
SUV - SMALL,3.5,6,Premium gasoline,8.0,8.5,8.2,34.0,189.0
PICKUP TRUCK - STANDARD,5.6,8,Regular gasoline,15.2,11.1,13.4,21.0,315.0
TWO-SEATER,5.0,8,Premium gasoline,15.6,10.4,13.3,21.0,311.0
SUBCOMPACT,1.978260085944167,9,Premium gasoline,14.668947258048359,4.206995796227057,9.193969934424272,24.81256377031607,393.0182287754294
MINIVAN,3.3,6,Regular gasoline,12.7,10.0,11.5,25.0,272.0
SUV - STANDARD,4.4,8,Premium gasoline,16.6,12.1,14.6,19.0,341.0
SUBCOMPACT,2.0,4,Premium gasoline,10.0,7.0,8.6,33.0,198.0
MID-SIZE,1.6,4,Regular gasoline,8.6,6.8,7.8,36.0,184.0
SUV - SMALL,3.0,6,Premium gasoline,11.5,8.4,10.1,28.0,232.0
FULL-SIZE,5.0,8,Premium gasoline,17.3,10.5,14.2,20.0,327.0
SUV - STANDARD,5.6,8,Regular gasoline,,13.4,16.6,17.0,382.0
MID-SIZE,5.7,8,Regular gasoline,14.8,9.3,12.3,23.0,289.0
PICKUP TRUCK - STANDARD,5.3,8,Ethanol (E85),19.9,14.0,17.2,16.0,286.0
MINICOMPACT,2.0,4,Premium gasoline,10.9,7.9,9.6,29.0,221.0
SUV - SMALL,3.0,6,Premium gasoline,12.5,9.6,11.2,25.0,262.0
SUV - SMALL,3.0,6,Premium gasoline,12.9,9.2,11.2,25.0,258.0
SUV - SMALL,2.5,4,Regular gasoline,9.0,7.1,8.2,34.0,192.0
MINICOMPACT,3.8,6,Premium gasoline,13.1,9.4,11.4,25.0,268.0
MINICOMPACT,5.0,8,Premium gasoline,15.6,10.9,13.5,21.0,310.0
COMPACT,1.4,4,Regular gasoline,8.5,6.2,7.4,38.0,175.0
TWO-SEATER,3.4,6,Premium gasoline,10.9,7.7,9.5,30.0,222.0
SUV - SMALL,2.4,4,Regular gasoline,11.3,9.5,10.5,27.0,247.0
